书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
无产阶级教育思想与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-461-4,2010,G40-091,G40-091/1:1,98243
质量专业基础知识与实务 初级. 初级,全国质量专业技术人员职业资格考试办公室组织写,中国人事出版社,978-7-80189-801-2,2009,F273.2,F273.2/71,98242
无事生非 : 中英文对照全译本,本丛书委会,广州世界图书出版公司,978-7-5100-0594-7,2010,I561.33,H319.4/8,98241
禅的传播,黄晓军,宗教文化出版社,978-7-5188-0660-7,2018,B946.5,B946.5/61,9824
重构 : 改善既有代码的设计 : improving the design of existing code,(美)Martin Fowler,人民邮电出版社,978-7-115-22170-4,2010,TP311.11,TP311.11/7,98237
中国进出口贸易分析与预测,郑桂环等,科学出版社,978-7-03-026010-9,2010,F752.6,F752.6/6,98235
软件调试实战,"(德)Thorsten Grotker[等],赵俐",人民邮电出版社,978-7-115-21885-8,2010,TP311.5,TP311.5/76,98232
现代试井理论及应用,卢德唐,石油工业出版社,978-7-5021-6895-7,2009,TE353,TE353/1,98230
心灵旷野 : 活出作家人生 : living the writer`s life,(美)纳塔莉·戈德堡(Natalie Goldberg),中国人民大学出版社,978-7-300-25152-3,2018,I04,I04/15,9823
2009年版全国造价工程师执业资格考试应试指南. 建设工程技术与计量(土建工程部分). 5版,"尹贻林主,赵荣江,吴静",中国计划出版社,978-7-80242-317-6,2009,TU723.3,TU723.3/24,98229
纳米纺织工程,王进美，冯国平等,化学工业出版社,978-7-122-03905-7,2009,TS106,TS106/1,98226
火力发电厂安全性评价读本,白泽光,中国电力出版社,978-7-5083-9417-6,2009,TM621.9.,TM621.9/1,98222
启蒙主义教育思想与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-440-9,2010,G40-095,G40-091.5/3:1,98221
易水古韵丛录,潘新宇主,经济日报出版社,978-7-5196-0608-4,2019,I222,I222/65,9822
中国木材产业资源基础研究,印中华，宋维明,中国林业出版社,978-7-5038-5452-1,2009,F426.88,F426.88/2,98219
古希腊罗马教育思想与论著选读. 下,冯克诚主,人民武警出版社,978-7-80176-457-7,2010,G40-091.984,G40-095.4/1:2,98217
核能发电与核电厂水电热联产技术,王为民，李银凤，刘万琨,化学工业出版社,978-7-122-03513-4,2009,TM613,TM613/1,98215
家庭和幼儿教育思想与论著选读. 中,冯克诚主,人民武警出版社,978-7-80176-452-2,2010,G78-53,G78-53/1:2,98211
伊斯兰教与坚持中国化方向研究,高占福，敏俊卿,宗教文化出版社,978-7-5188-0713-0,2019,B969.2,B969.2/7,9821
灰色粗糙集模型及其应用,吴顺祥,科学出版社,978-7-03-023988-4,2009,N94,N94/2,98209
家庭和幼儿教育思想与论著选读. 下,冯克诚主,人民武警出版社,978-7-80176-452-2,2010,G78-53,G78-53/1:3,98208
家庭和幼儿教育思想与论著选读. 上,冯克诚主,人民武警出版社,978-7-80176-452-2,2010,G78-53,G78-53/1:1,98207
现代试井理论及应用,卢德唐,石油工业出版社,978-7-5021-6895-7,2009,TE353,TE353/1,98205
计算机基础实训指导与习题集,王若东，易梁，王文生主,吉林大学出版社,978-7-5601-4434-4,2009,TP3,TP3/275,98203
大教育学,张子和,福建教育出版社,978-7-5334-5265-0,2009,G40,G40/10,98202
计算机基础实训指导与习题集,王若东，易梁，王文生主,吉林大学出版社,978-7-5601-4434-4,2009,TP3,TP3/275,98200
钓鳌宫 : 蝶化庄生的浮世绘,张宸鸣,北京日报出版社,978-7-5477-3244-1,2019,I267.3,I267.3/29,9820
教育与教育学文论选读. 上,冯克诚主,人民武警出版社,978-7-80176-442-3,2010,G40-53,G40-53/4:1,98199
阻燃聚合物纳米复合材料,胡源，宋磊等,化学工业出版社,978-7-122-02510-4,2008,TB383,TB383/3,98197
教育与教育学文论选读. 中,冯克诚主,人民武警出版社,978-7-80176-442-3,2010,G40-53,G40-53/4:2,98195
鲁迅根脉. 下,宋志坚,福建教育出版社,978-7-5334-5113-4,2008,K825.6,K825.6/30:2,98194
清代前期教育思想与论著选读. 下,冯克诚主,人民武警出版社,978-7-80176-465-2,2010,G40-092,G40-092/2:3,98192
教育与教育学文论选读. 下,冯克诚主,人民武警出版社,978-7-80176-442-3,2010,G40-53,G40-53/4:3,98191
鲁迅根脉. 上,宋志坚,福建教育出版社,978-7-5334-5113-4,2008,K825.6,K825.6/30:1,98190
中国华侨国际文化交流基地故事. 二,中国侨联文化交流部,中国华侨出版社,978-7-5113-7636-7,2018,G125,G125/12:2,9819
漫画造型速成,徐鹏飞,吉林大学出版社,978-7-5601-1444-X,1993,J218.2,J218.2/8,98181
传习录的教育智慧,漆宇勤,中国商业出版社,978-7-5208-0343-4,2018,B248.2,B248.2/4,9818
中国木材产业竞争力研究,宋维明,中国林业出版社,978-7-5038-5708-9,2009,F426.88,F426.88/3,98177
漫画造型速成,徐鹏飞,吉林大学出版社,978-7-5601-1444-X,1993,J218.2,J218.2/8,98176
中国木材产业竞争力研究,宋维明,中国林业出版社,978-7-5038-5708-9,2009,F426.88,F426.88/3,98172
职场软实力 : 员工职业素养修炼,涂文琪，于淼,光明日报出版社,978-7-5194-4154-8,2018,B848.4,B848.4/1497,9817
世界历史博览. 1,陈晓丹,中国戏剧出版社,978-7-104-03047-8,2009,K109,K109/38:4,98166
建设工程法规及相关知识. 4版,缪长江主,中国建筑工业出版社,978-7-112-09002-0,2009,D922.297,D922.297/66,98163
世界历史博览. 1,陈晓丹,中国戏剧出版社,978-7-104-03047-8,2009,K109,K109/38:4,98162
纳米纺织工程,王进美，冯国平等,化学工业出版社,978-7-122-03905-7,2009,TS106,TS106/1,98161
世界历史博览. 1,陈晓丹,中国戏剧出版社,978-7-104-03047-8,2009,K109,K109/38:4,98160
红孩谈散文 : 散文是说我的世界,红孩,中国言实出版社,978-7-5171-2921-9,2018,I207.67,I207.67/13,9816
一生应具备的18种能力,《一生应具备的18种能力》写组,广东世界图书出版公司,978-7-5100-3011-6,2010,B848.4-49,B848.4-49/140,98158
世界历史博览. 1,陈晓丹,中国戏剧出版社,978-7-104-03047-8,2009,K109,K109/38:4,98156
质量专业基础知识与实务. 初级,全国质量专业技术人员职业资格考试办公室组织写,中国人事出版社,978-7-80189-801-2,2009,F273.2,F273.2/71,98154
在太空中的神秘生活,本书写组,广东世界图书出版公司,978-7-5100-2490-0,2010,V4-49,V4-49/2,98151
情绪与心理学 : 有效管理情绪8法,和力,中华工商联合出版社,978-7-5158-2432-1,2019,B842.6-49,B842.6-49/130,9815
教师怎样完美展现师爱,卢翠红,东北师范大学出版社,978-7-5602-6624-4,2010,G451.6,G451.6/54,98149
星外基地 : 太空站,《星外基地:太空站》写组,世界图书广东出版公司,978-7-5100-2242-5,2010,V476.1-49,V476.1-49/1,98143
人类飞向太空之梦,本书写组,广东世界图书出版公司,978-7-5100-2052-0,2010,V4-49,V4-49/3,98141
人类飞向太空之梦,本书写组,广东世界图书出版公司,978-7-5100-2052-0,2010,V4-49,V4-49/3,98140
松鸦为什么鸣叫,陈应松,江苏凤凰文艺出版社,978-7-5594-1319-2,2020,I247.57,I247.57/2605,9814
生存与毁灭 : 地球的哭泣,刘子波，王潇，张丽萱等,广东世界图书出版公司,978-7-5100-1467-3,2009,X21-49,X-49/10,98136
阻燃聚合物纳米复合材料,胡源，宋磊等,化学工业出版社,978-7-122-02510-4,2008,TB383,TB383/14,98135
寄小读者,冰心原,广东世界图书出版公司,978-7-5100-1103-0,2009,I286.6,I28606/1,98134
陆游文集 : 图文版,王新龙,中国戏剧出版社,978-7-104-03058-4,2009,I222.744.2,I214.422/1,98133
陆九渊思想研究,欧阳祯人主,武汉大学出版社,978-7-307-20781-3,2019,B244.85,B244.85/2,9813
智者物语  集思广益锦言集,袁野主,内蒙古文化出版社,978-7-80675-439-9,2006,H033,H033/12,98129
围棋入门,吴桂英，玉　人,吉林大学出版社,978-7-5601-1099-8,1991,G354,G354/1,98128
围棋入门,吴桂英，玉人,吉林大学出版社,978-7-5601-1099-8,1991,G354,G891.3/9,98127
图解老人照护全书,康石,黑龙江科学技术出版社,978-7-5388-6203-4,2009,R473,R473-64/1,98121
土楼情,珍夫,中国文联出版社,978-7-5190-3603-4,2018,I247.57,I247.57/2604,9812
贺宜志诗词选粹,贺宜志,民主与建设出版社,978-7-5139-2286-9,2018,I227,I227/459,9811
追击,楠桥一品,西北大学出版社,978-7-5604-4271-6,2018,I253,I253/300,9810
全国生态现状调查与评估. 东北卷,国家环境保护总局,中国环境科学出版社,7-80209-167-5,2005,X321.2,X321.2/8,98091
一分钟探案高手.奇招缉凶卷,楚歌,西苑出版社,7-80108-473-X,2001,G449.4,G449.4/9,98090
詹姆逊后现代主义文化理论研究,张谡,中国商务出版社,978-7-5103-2391-1,2018,B089,B089/12,9809
AutoCAD 2011中文版机械设计实例教程. 2版,张永茂，王继荣等,机械工业出版社,978-7-111-32823-0,2011,TH122,TH122/137,98089
新编物流英语教程,王艳萍，束金龙主,九州出版社,978-7-5108-0976-7,2011,F252,F252/103,98088
浅埋隧道施工地层变形时空统一预测理论与应用,施成华，彭立敏，雷明锋,科学出版社,978-7-03-029236-0,2010,U459.9,U459.9/1,98087
决战 : 新华信管理咨询的观点,赵民,人民邮电出版社,7-115-12178-8,2004,F270,F270/351,98086
2006中国文化品牌报告,欧阳友权，柏定国主,中国市场出版社,7-5092-0044-X,2006,G05,G05/3,98085
2006中国文化品牌报告,欧阳友权，柏定国主,中国市场出版社,7-5092-0044-X,2006,G05,G05/3,98084
行走新疆,谭祎波,广东旅游出版社,978-7-80766-204-4,2010,K928.945,K928.945/3,98083
社会保险 : 法律政策解读与实用范本典型案例全书,王风和主,中国法制出版社,978-7-5093-2319-9,2011,D922.18,D922.18/1,98082
插图本中国文学研究. 下,郑振铎,中国文联出版社,978-7-5059-6584-3,2009,I209,I209/6:2,98081
插图本中国文学研究. 上,郑振铎,中国文联出版社,978-7-5059-6584-3,2009,I209,I209/6:1,98080
重新审视俄罗斯白银时代的文学批评理论,杨旭,中国社会出版社,978-7-5087-6048-3,2018,I512.06,I512.06/2,9808
彻底搞定E-mail英文,房娟等主,机械工业出版社,978-7-111-32030-2,2011,H315,H315/73,98079
新糊涂学秘笈. 4,李志敏主,京华出版社,978-7-80724-958-0,2010,B821-49,B821-49/402:4,98078
新糊涂学秘笈. 3,李志敏主,京华出版社,978-7-80724-958-0,2010,B821-49,B821-49/402:3,98077
新糊涂学秘笈. 2,李志敏主,京华出版社,978-7-80724-958-0,2010,B821-49,B821-49/402:2,98076
新糊涂学秘笈. 1,李志敏主,京华出版社,978-7-80724-958-0,2010,B821-49,B821-49/402:1,98075
综合性制度创新 : 农村税费改革的必由之路,骆惠宁,人民出版社,7-01-004297-7,2004,F812.422,F812.422/18,98074
西安半坡遗址,于丹,吉林文史出版社,978-7-5463-1582-9,2010,K878.04,K878.04/2,98073
人伦交际座右铭,"曾微隐,陆雨",吉林人民出版社,978-7-206-09067-7,2012,H136.3-49,H136.3-49/1,98072
绿色经典 : 改编世界的新思维,"欧阳秀娟,贾娟",广东世界图书出版公司,978-7-5100-1165-8,2009,X,X/4,98071
智能设计与不确定信息处理,李玲玲，李志刚,机械工业出版社,978-7-111-33517-7,2011,TB21,TB21/7,98070
实干兴邦 : 中国优秀企业家奋斗史. Ⅵ,中国文化信息协会,中国商务出版社,978-7-5103-2298-3,2018,K825.38=76,K825.38=76/61,9807
最伟大的戏剧大师——莎士比亚,晓树主,中国画报出版社,978-7-80220-462-1,2009,K835.61,K835.61/5,98069
世界游戏制作大师,李浩,中国传媒大学出版社,978-7-81127-431-8,2009,J905.1,J905.1/10,98068
美宅装饰设计实例. 2,好思威(深圳)装饰设计公司，博图(香港)出版公司,江西科学技术出版社,7-5390-2561-1,2005,TU241,TU241/189,98067
"这样画才能考上中央美术学院. 2, 素描人物",谢长敏，郑冬梅,湖北美术出版社,978-7-5394-2247-3,2008,G934.955,G934.955/1,98066
土木工程制图习题集,宋琦，赵景伟主,中国建材工业出版社,978-7-80227-097-8,2006,TU204-44,TU204-44/16,98065
中央美术学院高材生教你画·色彩,郭建军，芦瑛主,湖北美术出版社,978-7-5394-2000-4,2007,J215,J215/31,98064
朱载堉评传,邢兆良,南京大学出版社,978-7-305-06076-2,2011,K826.1=48,K826.1=48/2,98063
万斯同评传,方祖猷,南京大学出版社,978-7-305-06062-5,2011,K825.81=49,K825.81/1,98062
九型人格与血型密码,毛定娟，黄亚男,天津科学技术出版社,978-7-5308-5447-1,2009,B848.6,B848.6/34,98061
英语惯用法大词典,"吕志士,袁锡兴主",中国科学技术出版社,7-5046-1197-2,1994,H314-61,H314-61/1,98060
应用型心理学人才培养的教学改革与实践 : 以沧州师范学院为例,,辽宁教育出版社,978-7-5549-1789-3,2018,B849.1,B849.1/4,9806
实用成语词典,孙国雷主,吉林人民出版社,978-7-206-06303-9,2009,H136.3-61,H136.3-61/1,98059
同义词近义词反义词组词造句多音多义字词典,冯树军主,吉林人民出版社,978-7-206-06306-0,2009,G634.3,G634.3/8,98058
英汉汉英大词典 : 缩印本,张楚乔主,吉林人民出版社,978-7-206-06300-8,2009,H316,H316/15,98057
新编电工常用计算手册. 2版,周希章等,机械工业出版社,978-7-111-30564-4,2010,TM11-62,TM11-62/1,98056
同义词近义词反义词词典,娄雪主,吉林人民出版社,978-7-206-06377-0,2010,G634.3,G634.3/7,98055
歇后语谚语词典,范晓娜主,吉林人民出版社,978-7-206-06380-0,2010,G634.307,G634.307/1,98054
英汉汉英词典,席思佳主,吉林人民出版社,978-7-206-06381-7,2010,G634.41,G634.41/33,98053
现代汉语小词典,孙红丽主,吉林人民出版社,978-7-206-06378-7,2010,H164,H164/2,98052
汉英词典,张静平主,吉林人民出版社,978-7-206-06383-1,2010,G634.41,G634.41/32,98051
汉语水平考试研究 : 续集,刘英林主,现代出版社,7-80028-218-X,1994,H195,H195/1,98050
"没有名字的人. 2. 2, 迷失之海, The lost sea",FOXFOXBEE,北京联合出版公司,978-7-5596-1920-4,2018,I247.55,I247.55/36：2,9805
漫Girl. 2007.10,饶雪漫主笔,长江文艺出版社,978-7-5354-3514-9,2007,I217.62,I217.62/7,98049
缉捕术,王勇主,警官教育出版社,7-81062-025-8,1998,D918,D918/11,98048
Visual FoxPro程序设计上机指导与习题集,程克惠，童红兵主,天津科学技术出版社,978-7-5308-4148-8,2009,TP311.13,TP311.13/112,98047
国际结算. 5版,苏宗祥，徐捷,中国金融出版社,978-7-5049-5720-7,2010,F830.73,F830.73/7,98046
中信劳模先进风采录. 团队篇,温晋平主,中信出版社,978-7-5086-2717-5,2011,K825.34,K825.34/4,98045
中信劳模先进风采录. 人物篇,温晋平主,中信出版社,978-7-5086-2717-5,2011,K825.34,K825.34/3,98044
中国经济发展五十年大事记 : 1949.10～1999.10,中央财经领导小组办公室,人民出版社,7-01-003102-9,1999,F129.7,F129.7/1,98043
广东专业镇 : 中小企业集群的技术创新与生态化,吴国林主,人民出版社,7-01-005708-7,2006,F279.243,F279.243/14,98042
深入贯彻落实科学发展观加快经济发展方式转变学习问答 : 学习胡锦涛在省部级主要领导干部专题研讨班上的重要讲话精神,本书写组[],华文出版社,978-7-5075-3088-9,2010,F124,F124/30,98041
黄金腹地 : 南疆深度自助旅行指南,卢一萍,湖南文艺出版社,7-5404-3119-9,2003,K928.945,K928.945/4,98040
闻一多精品文集,闻一多,团结出版社,978-7-5126-5495-2,2018,I216.2,I216.2/116,9804
大学体育理论教程,《体育与健康理论教程》委会[],高等教育出版社,7-04-010303-6,2001,G807.4,G807.4/82,98039
全球顶级企业通用的9种财务管理方法,宿春礼等主,光明日报出版社,7-80145-777-3,2003,F275,F275/118,98038
劳动法,王广彬，刘芝祥主,中国政法大学出版社,978-7-5620-3370-7,2009,D922.501,D922.501/12,98037
天天厨房小窍门 : 美食生活373招,苗雨，王康宝,中国妇女出版社,978-7-80203-341-2,2007,TS972.1,TS972.1/5,98036
宪法学. 修订版,俞子清主,中国政法大学出版社,978-7-5620-1743-1,2006,D921.01,D921.01/5,98035
县域科学发展方法论,阎刚平,中共中央党校出版社,978-7-5035-3992-3,2009,F127,F127/12,98034
高超的客户服务,"(美)罗恩·卡尔(RonKarr), (美)唐·布洛霍瓦科(DonBlohowiak)",辽宁教育出版社,7-5382-5522-2,1999,F274,F274/168,98033
大学体育理论教程,《体育与健康理论教程》委会[],高等教育出版社,7-04-010303-6,2001,G807.4,G807.4/82,98032
变革中的理性思考. 4,范印华,解放军出版社,978-7-5065-6076-4,2010,D64,D64/14:4,98031
变革中的理性思考. 3,范印华,解放军出版社,978-7-5065-6076-4,2010,D64,D64/14:3,98030
死去活来 : 禅道智慧论,刘泽亮,宗教文化出版社,978-7-5188-0634-8,2018,B946.5,B946.5/60,9803
变革中的理性思考. 2,范印华,解放军出版社,978-7-5065-6076-4,2010,D64,D64/14:2,98029
变革中的理性思考. 1,范印华,解放军出版社,978-7-5065-6076-4,2010,D64,D64/14:1,98028
三苏全书. 第6册,曾枣庄，舒大刚主,语文出版社,978-7-80126-863-1,2001,Z424.41,Z424.41/1:6,98027
兔小匪的爱情“杯具”,何士伟,中国时代经济出版社,978-7-5119-0136-1,2010,J228.2,J228.2/76,98026
绿色档案 : 当代中国著名的民间环保组织,顾爽，代滢，孙忠杰,广东世界图书出版公司,978-7-5100-1472-7,2010,X-2,X-2/1,98025
增广开心辞典. 四,张翔鹰，张翔麟,内蒙古文化出版社,7-80675-024-X,2002,H164,H164/1:4,98024
办公建筑,韩国A&C出版社,北京科学技术出版社,978-7-5304-5045-1,2011,TU243-64,TU243-64/2,98023
十天突破新托福ESSAYS,慎小嶷,机械工业出版社,978-7-111-29675-1,2010,H310.41,H310.41/27,98022
土木工程图识读. 2版,周爱军,机械工业出版社,978-7-111-30469-2,2010,TU204,TU204/40,98021
包装工上岗就业百分百,上岗就业百分百系列丛书委会组,机械工业出版社,978-7-111-33182-7,2011,TB48,TB48/3,98020
进击的美人,南方赤火等,长江出版社,978-7-5492-6418-6,2019,I247.81,I247.81/110,9802
插电式混合动力电动汽车开发基础,(美)Seth Leitman,机械工业出版社,978-7-111-31499-8,2011,U469.72,U469.72/2,98019
地下通信(信息)管道施工及工程验收,吴达金,机械工业出版社,978-7-111-22524-9,2008,TN913.32,TN913.32/1,98018
实用英语综合教程. 3. 4版,《实用英语》教材写组,高等教育出版社,978-7-04-028428-7,2010,H31,H31/544,98017
公差配合与测量技术. 2版,黄云清主,机械工业出版社,978-7-111-08514-0,2007,TG801,TG801/2,98016
ECMO: 危重病体外心肺支持,(美)Krisa Van Meurs[等]主,中国环境科学出版社,978-7-5111-0420-5,2011,R654.1,R654.1/1,98015
高层建筑设计与施工. 下. 2版,陈祥福[等]主,科学出版社,978-7-03-030543-5,2011,TU97,TU97/1:2,98014
高层建筑设计与施工. 上. 2版,陈祥福[等]主,科学出版社,978-7-03-030543-5,2011,TU97,TU97/1:1,98013
"世界资源报告. 2000～2001, 人与生态系统——正在破碎的生命之网",联合国开发计划署等[],中国环境科学出版社,7-80163-298-2,2002,F119.9,F119.9/2,98012
中国城镇供水技术发展手册,洪觉民，陆坤明，何寿平主,中国建筑工业出版社,978-7-112-08042-7,2006,TU991.92,TU991.92/1,98011
公务员应知应会基础知识学习要点与测验 : 2010最新版,汪玉凯主,中共中央党校出版社,978-7-5035-4211-4,2010,D630.3,D630.3/30,98010
传统文化视域下的生命智慧,赵兴华,人民日报出版社,978-7-5115-5127-6,2018,B083-53,B083-53/2,9801
中国报业年鉴. 2006,宋建武主,中华工商联合出版社,978-7-80193-185-6,2007,G219.2,G219.2/1,98009
英语词汇实战宝典 : 2008版. 4版,张能彦主,机械工业出版社,978-7-111-10738-5,2007,H313.1,H313.1/176,98008
实用成语词典,孙国雷主,吉林人民出版社,978-7-206-06303-9,2009,H136.3-61,H136.3-61/1,98007
同义词近义词反义词组词造句多音多义字词典,冯树军主,吉林人民出版社,978-7-206-06306-0,2009,G634.3,G634.3/8,98006
英汉汉英大词典 : 缩印本,张楚乔主,吉林人民出版社,978-7-206-06300-8,2009,H316,H316/15,98005
同义词近义词反义词词典,娄雪主,吉林人民出版社,978-7-206-06377-0,2010,G634.3,G634.3/7,98004
新课标小学生多功能英语词典,戴志强主,陕西师范大学出版社,978-7-5613-5096-6,2010,G624.31,G624.31/2,98003
新课标小学生成语词典,刘建斌主,陕西师范大学出版社,978-7-5613-5098-0,2010,G624.2,G624.2/1,98002
吴炳煌针灸医案医论,吴明霞主,学苑出版社,978-7-5077-3220-7,2009,R246,R246/2,98001
杀狼狂想记,笑脸兔绘,新星出版社,978-7-80225-604-0,2009,J228.2,J228.2/75,98000
中唐新题乐府艺术研究,周京艳,人民出版社,978-7-01-020607-3,2019,I207.2,I207.2/56,9800
综合材料的艺术表现,王珠珍，陈耀明,上海大学出版社,978-7-81058-925-3,2005,J06,J06/38,97999
托起生命,何延柏,作家出版社,978-7-5063-5824-8,2011,I247.57,I247.57/1005,97998
大学生党课教程 : 全新版,金沙曼主,西安交通大学出版社,978-7-5605-2760-4,2008,D261.42,D261.42/16,97997
外贸英语函电 : 商务英语应用文写作. 学生用书. 4版,尹小莹，杨润辉,西安交通大学出版社,978-7-5605-2800-7,2008,H315,H315/96,97996
油田维修电工技术问答,张树起主,石油工业出版社,978-7-5021-7700-3,2010,TE43,TE43/1,97995
刑事诉讼法学,樊崇义，吕萍主,中国人民公安大学出版社,7-81087-065-3,2002,D925.201,D925.201/7,97994
全国医学博士英语统考词汇巧战通关. 3版,环球卓越教研中心组,机械工业出版社,978-7-111-36419-1,2012,H313.1,H313.1/175,97993
购车/驾车/养车/玩车全精通,张迪,机械工业出版社,978-7-111-35030-9,2011,U46,U46/15,97992
视听图解冷作钣金工入门,谷定来主,机械工业出版社,978-7-111-35992-0,2012,TG38-64,TG38-64/1,97991
典型工件磨削,郑文虎主,机械工业出版社,978-7-111-32750-9,2011,TG58,TG58/4,97990
英美女性文学研究,崔筱溪,吉林出版集团股份有限公司,978-7-5581-5467-6,2018,I561.065,I561.065/5,9799
绿茵场上的花瓣 : 足球幕后风雨情,吴京红,当代中国出版社,7-80092-903-5,2000,I253.4,I253.4/16,97989
高级财务会计,孙灿明，李宇飞主,中国人民公安大学出版社,7-81087-060-2,2002,F234.4,F234.4/72,97988
当代四川简史,杨超等主,当代中国出版社,7-80092-577-3,1997,K297.1,K297.1/1,97987
万斯同评传,方祖猷,南京大学出版社,978-7-305-06062-5,2011,K825.81=49,K825.81/1,97986
大胆爱,倪震,广西科学技术出版社,978-7-80763-683-0,2011,C913.1,C913.1/90,97985
社会保险 : 法律政策解读与实用范本典型案例全书,王风和主,中国法制出版社,978-7-5093-2319-9,2011,D922.18,D922.18/1,97984
影响力 意志力 创新力. 4,刑群麟，胡宝林,中国华侨出版社,978-7-5113-0961-7,2011,B848.4,B848.4/632:4,97983
影响力 意志力 创新力. 3,刑群麟，胡宝林,中国华侨出版社,978-7-5113-0961-7,2011,B848.4,B848.4/632:3,97982
影响力 意志力 创新力. 2,刑群麟，胡宝林,中国华侨出版社,978-7-5113-0961-7,2011,B848.4,B848.4/632:2,97981
影响力 意志力 创新力. 1,刑群麟，胡宝林,中国华侨出版社,978-7-5113-0961-7,2011,B848.4,B848.4/632:1,97980
念念小月光,番大王,江苏凤凰文艺出版社,978-7-5594-3421-0,2019,I247.57,I247.57/2603,9798
犁不开的冻土 : 莫斯科保卫战,周正舒,蓝天出版社,7-80081-517-X,1994,K152,K152/8,97979
民事行政检察指导与研究. 总第9集,王鸿翼主,中国检察出版社,978-7-5102-0461-6,2011,D926.3-55,D926.3-55/1,97978
基督山恩仇记. 上,(法)大仲马,陕西师范大学出版总社有限公司,978-7-5613-5313-4,2010,I565.44,I565.44/7:1,97977
党在我心中 : 诗颂建党九十年,刘国安,作家出版社,978-7-5063-5918-4,2011,I227,I227/62,97976
SolidWorks 2009中文版快速入门实例教程,耿国强，张红松，康士廷等,机械工业出版社,978-7-111-27318-9,2009,TH122,TH122/135,97975
SAT写作30天速成真经,出国留学考试学习中心,中国石化出版社,978-7-5114-0638-5,2011,G634.413,G634.413/22,97974
大学实用英语综合训练. 第1册,曹怡鲁，李玉香，陈夏南主,同济大学出版社,978-7-5608-4566-1,2011,H319.6,H319.6/115,97973
工程概预算与招投标,刘匀，金瑞珺,同济大学出版社,978-7-5608-3597-6,2007,TU723,TU723/13,97972
魔法棒针 : 1天就能完成的围巾、帽子、小物件,(日)主妇之友社,河南科学技术出版社,978-7-5349-4372-0,2010,TS941.763,TS941.763/5,97971
师友墨缘 : 陈东昱(默之)书法教学活动暨师生作品选辑,陈东昱,中国广播电视出版社,978-7-5043-6047-2,2010,J292.28,J292.28/8,97970
燎海倾城,娇娥,当代世界出版社,978-7-5090-1336-6,2018,I247.57,I247.57/2602,9797
安徽美术50年 : 1949年～1999年,骆惠宁主,安徽美术出版社,7-5398-0838-1,2000,J121,J121/38,97969
建筑主体结构工程技术交底范例1000篇,王德国主,辽宁科学技术出版社,978-7-5381-6184-7,2010,TU71,TU71/12,97968
北京青年发展报告 : 北京青年指数2005-2006年版,刘剑主,人民出版社,978-7-01-004450-7,2007,D432.6,D432.6/1,97967
离散数学及其应用 : 英文版 第4版. 影印版,(美)[K.罗森]Kenneth H.Rosen,机械工业出版社,7-111-07254-5,1999,O158,O158/16,97966
Red Hat Linux 6大全,"(美)(D.皮蒂斯)DavidPitts, (美)(B.鲍尔)BillBall等",机械工业出版社,7-111-07946-9,2000,TP316.81,TP316.81/49,97965
东方考古. 第4集,山东大学东方考古研究中心,科学出版社,978-7-03-021365-5,2008,K883,K883/1,97964
编译器构造 : C语言描述 : 英文版. 影印版,"(美)查尔斯N.费希尔(CharlesN.Fischer), (美)小理查德J.勒布朗(RichardJ.LeBlanc)",机械工业出版社,7-111-15897-0,2005,TP312C,TP312/266,97963
Microsoft SQL Server 2000资源大全,(美)Microsoft公司,机械工业出版社,7-111-09523-5,2002,TP311.13,TP311.13/28,97962
你要深情地看着我,侯德云,世界图书出版广东有限公司,978-7-5100-3199-1,2011,I247.8,I247.8/154,97961
汽车是如何奔跑的 : 图解汽车构造与原理,裴保纯主,机械工业出版社,978-7-111-30898-0,2010,U463-64,U463-64/1,97960
都市漩流中的海派小说,吴福辉,科学出版社,978-7-03-056896-0,2018,I207.42,I207.42/22,9796
给孩子当下的幸福,马丽娟,华文出版社,978-7-5075-3194-7,2010,G610,G610/1,97959
Photoshop CS5平面广告设计经典228例,赵芳，孟龙,科学出版社,978-7-03-034202-7,2012,J524.3,J524.3/9,97958
画法几何与建筑工程制图. 上册,尼姝丽主,化学工业出版社,978-7-122-11255-2,2011,TU204,TU204/55,97957
勾引与抗拒 : 当代先锋艺术十年纪,唐朝晖文,河南文艺出版社,978-7-80623-823-3,2007,J121,J121/39,97956
中华人民共和国招标投标法实务全书. 第三卷,刘哲主,西苑出版社,7-80108-303-2,1999,D922.297.4,D922.297.4/14:3,97955
中华人民共和国招标投标法实务全书. 第二卷,刘哲主,西苑出版社,7-80108-303-2,1999,D922.297.4,D922.297.4/14:2,97954
中华人民共和国招标投标法实务全书. 第一卷,刘哲主,西苑出版社,7-80108-303-2,1999,D922.297.4,D922.297.4/14:1,97953
深入理解计算机系统,"(美) Randal E. Bryant, David R. O`Hallaron",机械工业出版社,978-7-111-32133-0,2010,TP30,TP30/4,97952
Visual C++串口通信技术详解,李景峰，杨丽娜，潘恒等,机械工业出版社,978-7-111-30312-1,2010,TP312C,TP312C/203,97951
城市主义,(西)卡尔斯·布罗托,江苏科学技术出版社,7-5345-3593-X,2002,TU-856,TU-856/37,97950
"快乐的钥匙,在你的口袋",刘亚男,吉林文史出版社有限责任公司,978-7-5472-6472-0,2019,B848.4,B848.4/1496,9795
