书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
高效思考:成功思维训练法,(英)保罗·斯隆(Paul Sloane),中国人民大学出版社,978-7-300-25593-4,2018,B804,B804/35,9919
她的小心思,曲小蛐,百花洲文艺出版社,978-7-5500-3172-2,2019,I247.57,I247.57/2610,9918
做更厉害的人,刘建华,吉林文史出版社有限责任公司,978-7-5472-6462-1,2019,B848.4,B848.4/1499,9917
中国教育发展与改革:上. 上,崔保安，滕春瑛主,国家行政学院出版社,978-7-80140-948-5,2010,G52,G52/4:1,99160
中国面包军,何灵,知识出版社,978-7-5215-0099-8,2019,I25,I25/645,9916
"世界未解之谜 下卷. 下卷, 社会探索",廖春敏,内蒙古大学出版社,978-7-81115-789-5,2010,C49,N49/45,99155
天外究竟有几重：人类的太空探索之路,杨广军等主,光明日报出版社,978-7-80206-454-6,2007,O414.1-49,V11-49/1,99154
围棋入门指南,本书写组,广东世界图书出版公司,978-7-5100-1522-9,2010,G891.3,G891.3-49/5,99152
你所坚信的生活，最终都会实现,她总,现代出版社,978-7-5143-7102-4,2018,B821-49,B821-49/1091,9915
天地的怒火 : 万物简史之灾害卷,王经胜主,延边人民出版社,978-7-5449-1058-3,2010,Q939.1,X431-49/2,99149
世界航空风云,徐德康,航空工业出版社,978-7-80243-152-2,2008,V2-49,V2-49/1,99148
炭黑生产节能减排技术,殷云龙主,化学工业出版社,978-7-122-02176-2,2008,TQ127.1,TQ127.1/1,99147
产品免疫概念设计理论及应用,陈光柱,科学出版社,978-7-03-025020-9,2009,TB472,TB472/20,99146
神曲,(意)但丁,黑龙江美术出版社,978-7-5593-2610-2,2019,I546.23,I546.23/4,9914
中国对外投资项目案例分析 : 中国进出口银行海外投资项目精选,戴春宁主,清华大学出版社,978-7-302-19319-7,2009,F832.33,F832.33/11,99139
可爱的中国 : 方志敏烈士狱中遗著. 2,方志敏,国家行政学院出版社,978-7-80140-349-0,2011,K827=6,K827=6/19,99136
宇宙的起源,本书写组,广东世界图书出版公司,978-7-5100-1577-9,2010,P159.3,P159.3-49/1,99134
成语故事 二. 2版,张堃,内蒙古人民出版社,978-7-204-09403-5,2010,H136.3,H136.3/126,99130
再急也要慢慢来,刘美辰,江苏凤凰文艺出版社,978-7-5594-1300-0,2018,B821-49,B821-49/1090,9913
下午茶. 2版,聂权,四川文艺出版社,978-7-5411-5291-7,2019,I227.1,I227.1/47,9912
明代实学教育思想与论著选读. 下,冯克诚总主,人民武警出版社,978-7-80176-466-9,2010,G40-092.48,G40-092.48/1:2,99111
诗想的踪迹. 2版,张德明,四川文艺出版社,978-7-5411-5394-5,2019,I207.22,I207.22/119,9911
鲁迅经典. 1,陈中梅主,辽海出版社,978-7-5451-0281-9,2009,I210.2,I210.2/8:1,99109
明代实学教育思想与论著选读. 上,冯克诚总主,人民武警出版社,978-7-80176-466-9,2010,G40-092.48,G40-092.48/1:1,99108
皇妃日记 上. 上,落棋砂,珠海出版社,978-7-5453-0289-9,2009,I247.57,I247.5/119,99104
大清盐商徐老虎,高阳,团结出版社,978-7-80130-942-6,2005,I247.53,I247.53/16,99102
探索植物的奥秘,本丛书委会,广东世界图书出版公司,978-7-5100-1050-7,2010,Q94-49,Q94-49/6,99101
